clave,valor
"T","TÉCNICA"
"RE","RESPONSABLE DE LA EJECUCIÓN DE LOS TRABAJOS"
"RC","RESPONSABLE DE LA CONTRATACIÓN"
"O","OTRA"
"C","CONTRATANTE"
"R","REQUIRENTE"
