clave,valor
"DEC","DECLARANTE"
"CYG","CONYUGE"
"CBN","CONCUBINA O CONCUBINARIO"
"CVV","CONVIVIENTE"
"DEN","DEPENDIENTE ECONÓMICO"
"CTER","COPROPIEDAD CON TERCEROS"
