codigo,valor
ABI,Administración de bienes
ARH,Administración de recursos humanos
AFIN,Administración Financiera (Recaudación de Ingresos, Desembolso de Fondos, Presupuestos, Contabilidad)
ATEC,Áreas técnicas
ADP,Atención directa al público
AUDI,Auditoría, control interno, fiscalización, vigilancia, interventorías, inspección
CASOP,Contratos, adquisiciones, servicios y obra pública
FSI,Fuerza de seguridad e inteligencia
LEG,Legislar a nivel federal, estatal y cabildo municipal
OTORG,Otorgamiento de permisos, beneficios, subsidios, concesiones, licencias, derechos de uso inmobiliario, recursos naturales o propiedad
PJUS,Procuración de justicia (sentencias, ministerios públicos, fiscales, policías de investigación, auxiliares ministeriales, etc.)
RPP,Regulación y políticas públicas
OTRO,Otro (especifique)
