codigo,valor
AVS,Agricultura y vida silvestre
AL,Asuntos legales
BR,Bienes raíces
COM,Comunicaciones
DEC,Desarrollo económico
EDU,Educación
ENR,Energía
OTRO,Otro (especifique)
MAE,Medio ambiente y ecología
SAL,Salud
SEG,Seguridad
SF,Servicios financieros
TRP,Transportes
TUR,Turismo
