clave,valor
"BANC","BANCARIA"
"FINV","FONDOS DE INVERSIÓN"
"ORPM","ORGANIZACIONES PRIVADAS Y/O MERCANTILES"
"POMM","POSESIÓN DE MONEDAS Y/O METALES"
"SEGR","SEGUROS"
"VBUR","VALORES BURSÁTILES"
"AFOT","AFORES Y OTROS"
