codigo,valor
"CHIP","CRÉDITO HIPOTECARIO"
"CAUT","CRÉDITO AUTOMOTRIZ"
"CPER","CRÉDITO PERSONAL"
"TCRN","TARJETA DE CRÉDITO BANCARIA"
"TCRD","TARJETA DE CRÉDITO DEPARTAMENTAL"
"PRPE","PRÉSTAMO PERSONAL"
"OTRO","OTROS (ESPECIFIQUE)"
