codigo,valor
"CPV","COMPRAVENTA"
"CSN","CESIÓN"
"DNC","DONACIÓN"
"HRN","HERENCIA"
"PRM","PERMUTA"
"RST","RIFA O SORTEO"
"STC","SENTENCIA"
