codigo,valor
PRI,"PRIMARIA"
SEC,"SECUNDARIA"
CTC,"CARRERA TÉCNICA O COMERCIAL"
LIC,"LICENCIATURA"
ESP,"ESPECIALIDAD"
MAE,"MAESTRÍA"
DOC,"DOCTORADO"
