codigo,valor
ACCS,Acciones
BONS,Bonos
VALRS,Valores
TITLS,Títulos
CONTSA,Cuentas de ahorro
FRET,Fondo de Retiro
FINV,Fondo de Inversión
OTRO,Otro (especifique)
