clave,valor
"OSC","ORGANIZACIONES DE LA SOCIEDAD CIVIL"
"OB","ORGANIZACIONES BENÉFICAS"
"PP","PARTIDOS POLITICOS"
"GS","GREMIOS/SINDICATOS"
"OTRO","OTRO (ESPECIFIQUE)"
