clave,valor
SOL,'SOLTERO (A)'
CAS,'CASADO (A)'
DIV,'DIVORCIADO (A)'
VIU,'VIUDO (A)'
CON,'CONCUBINA/CONCUBINARIO/UNIÓN LIBRE'
SCO,'SOCIEDAD DE CONVIVENCIA'
