codigo,valor
"CASA","CASA"
"DPTO","DEPARTAMENTO"
"EDIF","EDIFICIO"
"LOCC","LOCAL COMERCIAL"
"BODG","BODEGA"
"PALC","PALCO"
"RACH","RANCHO"
"TERR","TERRENO"
"OTRO","OTROS (ESPECIFIQUE)"
