clave,valor
"CAP","CAPITAL"
"FIN","FONDOS DE INVERSIÓN"
"OPR","ORGANIZACIONES PRIVADA"
"SSI","SEGURO DE SEPARACIÓN INDIVIDUALIZADO"
"VBU","VALORES BURSÁTILES"
"BON","BONOS"
"OTRO","OTRO(ESPECIFIQUE)"
