clave,valor
"ABU","ABUELO(A)"
"BISA","BISABUELO(A)"
"BISN","BISNIETO(A)"
"CONB","CONCUBINA O CONCUBINARIO"
"CONC","CONCUÑO(A)"
"CONY","CÓNYUGE"
"CUN","CUÑADO(A)"
"HER","HERMANO(A)"
"HIJ","HIJO(A)"
"MAD","MADRE"
"PAD","PADRE"
"PRI","PRIMO(A)"
"SOB","SOBRINO(A)"
"SUE","SUEGRO(A)"
"TATA","TATARABUELO(A)"
"TATN","TATARANIETO(A)"
"TIOA","TIO(A)"
"NIE","NIETO(A)"
"NIN","NINGUNO"
"OTRO","OTRO(ESPECIFIQUE)"
