clave,valor
"DEC","DECLARANTE"
"CYG","CÓNYUGE"
"CBN","CONCUBINA O CONCUBINARIO"
"CVV","CONVIVIENTE"
"DEN","DEPENDIENTE ECONÓMICO"
"CTER","COPROPIEDAD CON TERCEROS"
