clave,valor
"OSC","ORGANIZACIONES DE LA SOCIEDAD CIVIL"
"OB","ORGANIZACIONES BENÉFICAS"
"PP","PARTIDOS POLÍTICOS"
"GS","GREMIOS/SINDICATOS"
"OTRO","OTRO (ESPECIFIQUE)"
