clave,valor
"MECA","MENAJE DE CASA (MUEBLES Y ACCESORIOS DE CASA)"
"APAE","APARATOS ELECTRÓNICOS Y ELECTRODOMÉSTICOS"
"JOYA","JOYAS"
"COLEC","COLECCIONES"
"OBRA","OBRAS DE ARTE"
"OTRO","OTROS (ESPECIFIQUE)"
