clave,valor
"DC","DECLARANTE"
"CY","CÓNYUGE"
"CON","CONCUBINA O CONCUBINARIO"
"CONV","CONVIVIENTE"
"HIJ","HIJO(A)"
"HER","HERMANO(A)"
"CU","CUÑADO(A)"
"MA","MADRE"
"PA","PADRE"
"TIO","TIO(A)"
"PRI","PRIMO(A)"
"SOB","SOBRINO(A)"
"AHI","AHIJADO(A)"
"NUE","NUERA"
"YER","YERNO"
"ABU","ABUELO(A)"
"NIE","NIETO(A)"
"OTRO","OTRO(A)"
