clave,valor
PRI,"PRIMARIA"
SEC,"SECUNDARIA"
BCH,"BACHILLERATO"
CTC,"CARRERA TÉCNICA O COMERCIAL"
LIC,"LICENCIATURA"
ESP,"ESPECIALIDAD"
MAE,"MAESTRÍA"
DOC,"DOCTORADO"



